0,734,0,1696
1,776,0,1635
2,791,0,1617
3,763,0,1538
4,777,0,1561
5,818,0,1563
6,271,0,1515
7,277,0,1545
8,281,0,1536
9,304,0,1543
10,319,0,1558
11,395,0,1568
12,430,0,1602
13,498,0,1642
15,552,0,1628
16,595,0,1570
17,662,0,1578
18,667,0,1524
19,736,0,1539
20,736,0,1558
21,769,0,1547
22,830,0,1569
23,202,0,1538
25,294,0,1494
26,310,0,1584
27,390,0,1564
28,367,0,1610
29,405,0,1637
30,440,0,1669
31,486,0,1719
32,506,0,1712
33,549,0,1661
34,599,0,1662
35,638,0,1632
36,647,0,1577
37,702,0,1657
38,205,0,1571
39,767,0,1689
40,772,0,1692
41,797,0,1658
42,849,0,1613
43,216,0,1623
44,285,0,1578
45,293,0,1585
46,371,0,1570
47,387,0,1633
48,354,0,1708
49,405,0,1725
50,546,0,1654
51,518,0,1572
52,589,0,1608
53,638,0,1581
54,652,0,1556
55,681,0,1506
56,733,0,1470
58,739,0,1388
59,316,0,1404
60,367,0,1411
61,417,0,1448
62,464,0,1427
63,501,0,1449
64,300,0,1379
65,583,0,1396
66,663,0,1425
67,661,0,1359
68,736,0,1412
69,766,0,1403
70,280,0,1401
71,309,0,1405
72,351,0,1394
73,370,0,1377
74,434,0,1381
75,483,0,1346
76,538,0,1333
77,598,0,1306
78,637,0,1303
79,696,0,1275
80,728,0,1271
81,787,0,1236
82,308,0,1280
83,326,0,1300
84,371,0,1341
85,611,0,1242
86,445,0,1331
87,463,0,1329
88,525,0,1342
89,523,0,1409
90,576,0,1385
91,625,0,1430
92,663,0,1420
93,722,0,1403
94,735,0,1337
95,768,0,1397
96,318,0,1421
97,396,0,1419
98,409,0,1350
99,434,0,1429
100,599,0,1413
101,646,0,1393
102,670,0,1369
103,699,0,1401
104,731,0,1377
105,787,0,1314
106,365,0,1331
107,397,0,1308
108,469,0,1334
109,481,0,1257
112,633,0,1336
113,635,0,1376
114,689,0,1355
115,732,0,1312
116,764,0,1312
117,786,0,1299
119,421,0,1306
120,465,0,1285
121,493,0,1252
122,498,0,1199
123,558,0,1163
124,606,0,1196
125,647,0,1225
126,700,0,1194
127,749,0,1145
128,375,0,1211
129,402,0,1212
130,417,0,1214
131,459,0,1247
133,559,0,1251
134,594,0,1226
135,622,0,1148
136,343,0,1163
137,665,0,1100
138,713,0,1112
139,371,0,1135
140,378,0,1216
141,360,0,1199
142,447,0,1222
143,447,0,1182
144,524,0,1198
145,569,0,1212
146,508,0,1158
147,658,0,1200
148,684,0,1184
149,393,0,1156
150,525,0,1117
151,550,0,1083
152,597,0,1059
153,639,0,1062
154,689,0,1119
155,690,0,1095
156,347,0,1098
157,369,0,1091
158,394,0,1084
159,424,0,1044
160,471,0,1105
161,525,0,1090
162,567,0,1127
163,498,0,1074
164,671,0,1057
165,718,0,1093
166,357,0,1106
167,402,0,1117
168,456,0,1107
169,501,0,1093
170,522,0,1039
171,564,0,1030
172,556,0,970
173,635,0,985
174,627,0,957
175,368,0,997
176,662,0,996
177,425,0,957
178,483,0,937
179,519,0,931
180,546,0,955
181,596,0,939
182,603,0,1001
183,626,0,935
184,686,0,980
185,454,0,949
186,456,0,1009
187,487,0,1006
188,543,0,995
189,601,0,993
190,598,0,953
191,674,0,974
192,704,0,933
193,629,0,983
194,629,0,1002
195,444,0,966
196,470,0,912
197,542,0,947
198,532,0,974
199,586,0,967
200,634,0,989
201,378,0,964
202,408,0,960
204,491,0,992
205,518,0,977
206,562,0,962
207,625,0,936
208,597,0,862
209,404,0,906
210,649,0,830
211,404,0,835
212,434,0,859
213,577,0,899
214,544,0,845
215,550,0,828
216,588,0,769
217,637,0,828
218,401,0,788
219,455,0,854
220,502,0,793
221,546,0,863
222,584,0,849
223,491,0,908
224,484,0,893
225,690,0,864
226,409,0,819
227,379,0,828
228,455,0,823
229,613,0,904
230,570,0,899
231,533,0,787
232,551,0,779
233,596,0,829
234,480,0,885
235,690,0,811
236,672,0,886
237,634,0,904
238,433,0,858
239,464,0,823
240,517,0,828
241,567,0,816
242,608,0,785
243,614,0,773
244,443,0,798
245,441,0,779
246,506,0,733
247,521,0,727
248,575,0,703
249,633,0,758
250,497,0,784
251,555,0,744
252,600,0,754
254,428,0,767
255,450,0,728
256,510,0,730
257,529,0,733
258,580,0,747
259,619,0,729
260,638,0,758
261,376,0,749
262,448,0,769
265,561,0,733
266,590,0,761
267,646,0,716
268,431,0,698
269,491,0,693
270,428,0,730
271,569,0,703
272,621,0,648
273,459,0,636
274,522,0,664
275,544,0,664
276,600,0,635
277,472,0,690
278,568,0,658
279,538,0,644
280,584,0,649
282,501,0,598
283,574,0,584
284,608,0,567
285,532,0,592
286,545,0,530
287,583,0,567
288,514,0,585
289,577,0,562
290,611,0,516
291,597,0,606
292,527,0,536
293,587,0,533
294,605,0,542
295,517,0,546
296,516,0,521
297,537,0,530
298,607,0,520
299,549,0,514
300,548,0,470
